vocabulary,ni,occurrences
$10,1,"[['23', 1]]"
"$119,99",1,"[['23', 1]]"
"$175,00",1,"[['24', 1]]"
"$199,00",1,"[['21', 1]]"
$20,1,"[['10', 1]]"
$200,5,"[['10', 2], ['11', 2], ['15', 2], ['16', 2], ['18', 2]]"
$qty_dummy$,2,"[['21', 4], ['23', 4]]"
$qty_dummy1$,2,"[['21', 1], ['23', 1]]"
",ficamos",1,"[['4', 1]]"
...,2,"[['8', 1], ['21', 1]]"
...pois,1,"[['4', 1]]"
.com.br,7,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1]]"
.please,4,"[['11', 3], ['15', 3], ['16', 3], ['18', 3]]"
"0,01.",1,"[['10', 1]]"
0.0%,4,"[['11', 4], ['15', 4], ['16', 2], ['18', 2]]"
0.1,1,"[['4', 1]]"
0.15,1,"[['4', 1]]"
0.2,1,"[['4', 1]]"
0.65,1,"[['9', 1]]"
0.94,1,"[['3', 1]]"
"9,07",1,"[['22', 1]]"
"18,98",1,"[['20', 1]]"
"26,16",1,"[['24', 1]]"
"48,29",1,"[['21', 1]]"
5570714,8,"[['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
"81,63",1,"[['24', 2]]"
"83,75",1,"[['22', 2]]"
0cd,1,"[['18', 1]]"
0mah,1,"[['18', 1]]"
1,2,"[['3', 1], ['4', 2]]"
"1,2",1,"[['2', 1]]"
"1,6",2,"[['68', 1], ['74', 1]]"
"1,79",1,"[['15', 1]]"
1009,1,"[['2', 1]]"
1083,1,"[['2', 1]]"
1219,1,"[['2', 2]]"
1271,1,"[['2', 2]]"
1.3ghz,1,"[['16', 1]]"
1420,1,"[['2', 1]]"
1.5,1,"[['2', 1]]"
1579,1,"[['2', 2]]"
1625,4,"[['2', 3], ['3', 2], ['4', 2], ['7', 2]]"
1666,1,"[['2', 2]]"
1686,1,"[['2', 1]]"
1769,1,"[['4', 2]]"
1775,1,"[['2', 1]]"
1.79,1,"[['3', 1]]"
1796,1,"[['3', 2]]"
1.8,2,"[['3', 1], ['11', 1]]"
1800,1,"[['7', 2]]"
1806,1,"[['2', 1]]"
1850,1,"[['2', 1]]"
10%,11,"[['3', 1], ['4', 2], ['9', 1], ['20', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
"10,000mah",1,"[['2', 1]]"
10.,1,"[['3', 2]]"
10.0,1,"[['16', 1]]"
10.4,2,"[['2', 1], ['8', 1]]"
100%,13,"[['3', 3], ['9', 1], ['21', 3], ['22', 2], ['24', 1], ['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
100.0%,2,"[['11', 1], ['15', 1]]"
10000dpi,1,"[['60', 1]]"
10000mah,4,"[['2', 2], ['3', 1], ['4', 1], ['7', 1]]"
1000gb,1,"[['3', 1]]"
1005g1,1,"[['60', 1]]"
"103,81",1,"[['21', 1]]"
10300h,1,"[['60', 1]]"
"106,54",1,"[['22', 1]]"
1080p,2,"[['11', 2], ['15', 3]]"
"109,31",3,"[['20', 1], ['21', 1], ['23', 1]]"
"109,36",1,"[['24', 2]]"
10a,1,"[['1', 1]]"
10ram,1,"[['11', 1]]"
10s,1,"[['2', 11]]"
10w,1,"[['2', 1]]"
